KIA Picanto 1.0 AT,2049000,$12251,24k10g 19
KIA Grand Carnival EX,6999000,$41847,24k10g 67
KIA Sportage Alpha,4399000,$26301,24k10g 42
KIA Sportage FWD,4899000,$29291,24k10g 47
Suzuki Alto VXL,1598000,$9554,24k10g 15
Suzuki Cultus Auto Gear Shift,2030000,$12137,24k10g 19
Suzuki Wagon R AGS,1890000,$11300,24k10g 18
Suzuki Ciaz Automatic,2500000,$14947,24k10g 24
Suzuki Swift DLX Automatic 1.3 Navigation,2140000,$12795,24k10g 20
Suzuki Vitara GLX 1.6,6500000,$38863,24k10g 63
Toyota Corolla Altis Automatic 1.6,3309000,$19784,24k10g 32
Toyota Corolla GLi Automatic 1.3 VVTi,2869000,$17153,24k10g 27
Toyota Prius S,9270000,$55426,24k10g 89
Toyota Rush G A/T,5840000,$34917,24k10g 56
Toyota Yaris ATIV CVT 1.3,2729000,$16316,24k10g 26
Toyota Yaris ATIV X CVT 1.5,2959000,$17692,24k10g 28
Toyota Yaris GLI CVT 1.3,2649000,$15838,24k10g 25
Honda Civic 1.5 RS Turbo,4699000,$28095,24k10g 45
Honda Civic 1.5 VTEC Turbo Oriel,4449000,$26600,24k10g 43
Honda Civic 1.8 i-VTEC CVT,3729000,$22295,24k10g 36
Honda Civic Oriel 1.8 i-VTEC CVT,3979000,$23790,24k10g 38
Honda City 1.5 i-VTEC Prosmatec,2699000,$16137,24k10g 26
Honda City Aspire Prosmatec 1.5 i-VTEC,2859000,$17094,24k10g 27
Honda BR-V i-VTEC S,3479000,$20801,24k10g 33
BMW X1 sDrive18i,10285900,$61500,24k10g 99
Audi Q2 1.0 TFSI Standard Line,7250000,$43348,24k10g 70
Hyundai Ioniq GLS,6399000,$38260,24k10g 62
Hyundai Tucson AWD A/T Ultimate,5599000,$33476,24k10g 54
Hyundai Tucson FWD A/T GLS Sport,5099000,$30487,24k10g 49